id,price_per_gallon,user_id,gas_station_id,fuel_type_id,enabled,create_date,last_update,remarks
28,2.79,2,7,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
29,2.77,3,8,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
30,2.83,3,8,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
31,2.99,3,8,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
32,2.85,3,8,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
33,2.69,4,9,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
34,2.89,4,9,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
35,3.01,4,9,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
36,2.90,4,9,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
37,2.81,2,10,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
38,2.89,2,10,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
39,2.98,2,10,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
40,2.84,2,10,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
41,2.780,3,11,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
42,2.85,3,11,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
43,2.98,3,11,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
44,2.82,3,11,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
45,2.76,4,12,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
46,2.82,4,12,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
47,2.95,4,12,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
48,2.79,4,12,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
49,2.77,2,13,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
50,2.83,2,13,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
51,2.99,2,13,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
52,2.85,2,13,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
53,2.69,3,14,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
54,2.89,3,14,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
55,3.01,3,14,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
56,2.90,3,14,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
57,2.81,4,15,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
58,2.89,4,15,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
59,2.98,4,15,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
60,2.84,4,15,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
61,2.780,2,16,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
62,2.85,2,16,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
63,2.98,2,16,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
64,2.82,2,16,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
65,2.76,3,17,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
66,2.82,3,17,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
67,2.95,3,17,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
68,2.79,3,17,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
69,2.77,4,18,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
70,2.83,4,18,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
71,2.99,4,18,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
72,2.85,4,18,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
73,2.69,2,19,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
74,2.89,2,19,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
75,3.01,2,19,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
76,2.90,2,19,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
77,2.81,3,20,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
78,2.89,3,20,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
79,2.98,3,20,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
80,2.84,3,20,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
81,2.780,4,21,1,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
82,2.85,4,21,2,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
83,2.98,4,21,3,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
84,2.82,4,21,4,1,2025-06-16 00:00:00,2025-06-16 00:00:00,NULL
85,2.76,2,22,1,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
86,2.82,2,22,2,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
87,2.95,2,22,3,1,2025-06-12 00:00:00,2025-06-12 00:00:00,NULL
88,2.79,2,22,4,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
89,2.77,3,23,1,1,2025-06-14 00:00:00,2025-06-14 00:00:00,NULL
90,2.83,3,23,2,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
91,2.99,3,23,3,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
92,2.85,3,23,4,1,2025-06-15 00:00:00,2025-06-15 00:00:00,NULL
